Date,Dividends,Company
05/11/2005,0.38,Eli Lilly and Company (LLY)
02/13/2001,0.28,Eli Lilly and Company (LLY)
08/13/2003,0.335,Eli Lilly and Company (LLY)
11/13/2013,0.49,Eli Lilly and Company (LLY)
11/08/1991,0.5,Eli Lilly and Company (LLY)
02/13/2013,0.49,Eli Lilly and Company (LLY)
08/11/2016,0.51,Eli Lilly and Company (LLY)
08/09/1991,0.5,Eli Lilly and Company (LLY)
05/12/2004,0.355,Eli Lilly and Company (LLY)
11/10/2004,0.355,Eli Lilly and Company (LLY)
08/13/2002,0.31,Eli Lilly and Company (LLY)
08/11/2006,0.4,Eli Lilly and Company (LLY)
11/14/2018,0.5625,Eli Lilly and Company (LLY)
05/11/1981,0.03594,Eli Lilly and Company (LLY)
11/12/2014,0.49,Eli Lilly and Company (LLY)
05/09/1977,0.02219,Eli Lilly and Company (LLY)
05/11/2011,0.49,Eli Lilly and Company (LLY)
11/08/1984,0.05,Eli Lilly and Company (LLY)
02/09/1993,0.6052,Eli Lilly and Company (LLY)
08/09/1994,0.6252,Eli Lilly and Company (LLY)
05/16/2018,0.5625,Eli Lilly and Company (LLY)
05/12/1980,0.03281,Eli Lilly and Company (LLY)
08/09/1988,0.5752,Eli Lilly and Company (LLY)
05/10/1976,0.01875,Eli Lilly and Company (LLY)
11/09/1989,0.3376,Eli Lilly and Company (LLY)
05/12/2010,0.49,Eli Lilly and Company (LLY)
11/10/2010,0.49,Eli Lilly and Company (LLY)
05/09/1985,0.05,Eli Lilly and Company (LLY)
02/13/2007,0.425,Eli Lilly and Company (LLY)
02/11/2011,0.49,Eli Lilly and Company (LLY)
05/11/2000,0.26,Eli Lilly and Company (LLY)
05/09/1983,0.04063,Eli Lilly and Company (LLY)
11/08/1974,0.01563,Eli Lilly and Company (LLY)
05/07/1979,0.02813,Eli Lilly and Company (LLY)
02/09/1983,0.04063,Eli Lilly and Company (LLY)
11/13/1995,0.6852,Eli Lilly and Company (LLY)
05/13/1996,0.343,Eli Lilly and Company (LLY)
11/08/1990,0.41,Eli Lilly and Company (LLY)
08/13/2013,0.49,Eli Lilly and Company (LLY)
08/11/2017,0.52,Eli Lilly and Company (LLY)
05/11/1992,0.55,Eli Lilly and Company (LLY)
11/03/1977,0.02219,Eli Lilly and Company (LLY)
05/09/1988,0.5752,Eli Lilly and Company (LLY)
05/10/1982,0.04063,Eli Lilly and Company (LLY)
11/07/1983,0.04531,Eli Lilly and Company (LLY)
11/13/2000,0.26,Eli Lilly and Company (LLY)
11/07/1975,0.01719,Eli Lilly and Company (LLY)
02/12/1997,0.36,Eli Lilly and Company (LLY)
05/11/2016,0.51,Eli Lilly and Company (LLY)
05/08/1978,0.025,Eli Lilly and Company (LLY)
02/08/1984,0.04531,Eli Lilly and Company (LLY)
05/09/1991,0.5,Eli Lilly and Company (LLY)
05/11/1987,0.5,Eli Lilly and Company (LLY)
11/12/1997,0.2,Eli Lilly and Company (LLY)
05/13/1998,0.2,Eli Lilly and Company (LLY)
02/08/1985,0.05,Eli Lilly and Company (LLY)
08/09/1985,0.05,Eli Lilly and Company (LLY)
05/16/2019,0.645,Eli Lilly and Company (LLY)
05/13/2002,0.31,Eli Lilly and Company (LLY)
11/05/1976,0.02031,Eli Lilly and Company (LLY)
02/11/1998,0.2,Eli Lilly and Company (LLY)
08/12/1998,0.2,Eli Lilly and Company (LLY)
11/13/1972,0.01138,Eli Lilly and Company (LLY)
05/14/1973,0.01181,Eli Lilly and Company (LLY)
02/14/2019,0.645,Eli Lilly and Company (LLY)
02/06/1976,0.01875,Eli Lilly and Company (LLY)
05/09/1990,0.41,Eli Lilly and Company (LLY)
08/13/1973,0.01294,Eli Lilly and Company (LLY)
05/09/1994,0.6252,Eli Lilly and Company (LLY)
05/09/1986,0.4504,Eli Lilly and Company (LLY)
08/11/2011,0.49,Eli Lilly and Company (LLY)
11/14/2019,0.645,Eli Lilly and Company (LLY)
08/13/1997,0.36,Eli Lilly and Company (LLY)
02/10/1999,0.23,Eli Lilly and Company (LLY)
11/10/2015,0.5,Eli Lilly and Company (LLY)
05/13/2014,0.49,Eli Lilly and Company (LLY)
11/12/1973,0.01294,Eli Lilly and Company (LLY)
02/13/2020,0.74,Eli Lilly and Company (LLY)
08/13/2001,0.28,Eli Lilly and Company (LLY)
02/04/1977,0.02219,Eli Lilly and Company (LLY)
05/10/1993,0.6052,Eli Lilly and Company (LLY)
11/08/1993,0.6052,Eli Lilly and Company (LLY)
08/09/1989,0.3376,Eli Lilly and Company (LLY)
11/08/1985,0.05,Eli Lilly and Company (LLY)
08/09/1993,0.6052,Eli Lilly and Company (LLY)
11/10/1999,0.23,Eli Lilly and Company (LLY)
11/03/1978,0.02813,Eli Lilly and Company (LLY)
02/13/1996,0.345,Eli Lilly and Company (LLY)
08/13/1996,0.3426,Eli Lilly and Company (LLY)
05/12/1975,0.01719,Eli Lilly and Company (LLY)
02/13/2012,0.49,Eli Lilly and Company (LLY)
05/13/2009,0.49,Eli Lilly and Company (LLY)
11/10/2011,0.49,Eli Lilly and Company (LLY)
08/11/1975,0.01719,Eli Lilly and Company (LLY)
11/07/1986,0.4504,Eli Lilly and Company (LLY)
02/13/2008,0.47,Eli Lilly and Company (LLY)
08/12/2009,0.49,Eli Lilly and Company (LLY)
05/12/1999,0.23,Eli Lilly and Company (LLY)
02/11/2005,0.38,Eli Lilly and Company (LLY)
